rule	family	now_severity	should_be	slug	ed_idx	date	n	why
A_RK_MONTH_BOUNDARY	date-outlier	確実	要確認	captain	3	2010-04	4	楽天の散りが隣接月のみ(RAKUTEN_SPREAD(2種:2010-03,2010-04))でDBの月もその範囲内=月末発売の翌月表記。確実の根拠にならない
A_RK_MONTH_BOUNDARY	date-outlier	確実	要確認	mitsumegatooru	3	2012-06	4	楽天の散りが隣接月のみ(RAKUTEN_SPREAD(2種:2012-05,2012-06))でDBの月もその範囲内=月末発売の翌月表記。確実の根拠にならない
A_RK_MONTH_BOUNDARY	date-outlier	確実	要確認	samurai-giants	3	2002-04	4	楽天の散りが隣接月のみ(RAKUTEN_SPREAD(2種:2002-03,2002-04))でDBの月もその範囲内=月末発売の翌月表記。確実の根拠にならない
A_RK_MONTH_BOUNDARY	date-outlier	確実	要確認	taiman-buruusu	0	1993-12	7	楽天の散りが隣接月のみ(RAKUTEN_SPREAD(2種:1993-11,1993-12))でDBの月もその範囲内=月末発売の翌月表記。確実の根拠にならない
A_RK_MONTH_BOUNDARY	date-outlier	確実	要確認	taraobannai	1	1997-12	4	楽天の散りが隣接月のみ(RAKUTEN_SPREAD(2種:1997-11,1997-12))でDBの月もその範囲内=月末発売の翌月表記。確実の根拠にならない
B_PRECISION_MULTI	date-outlier	要確認	情報	death-hunter	0	1971	1	1971年=当時のMADB記録の粒度(年のみ)であって値の異常でない
B_PRECISION_MULTI	date-outlier	要確認	情報	dororo	2	1976	1	1976年=当時のMADB記録の粒度(年のみ)であって値の異常でない
B_PRECISION_MULTI	date-outlier	要確認	情報	kamui-den	0	1967	1	同一版に年のみ巻が3件=detailの『この巻だけ』が事実に反する / 1967年=当時のMADB記録の粒度(年のみ)であって値の異常でない
B_PRECISION_MULTI	date-outlier	要確認	情報	kamui-den	0	1968	1	同一版に年のみ巻が3件=detailの『この巻だけ』が事実に反する / 1968年=当時のMADB記録の粒度(年のみ)であって値の異常でない
B_PRECISION_MULTI	date-outlier	要確認	情報	kamui-den	0	1968	1	同一版に年のみ巻が3件=detailの『この巻だけ』が事実に反する / 1968年=当時のMADB記録の粒度(年のみ)であって値の異常でない
