slug	title	英化漏れ語	flag
100-mandoru-naito	100万＄ナイト	knight	★曖昧(knight/night等)
2-ma-no-hito-all-2shoku-karaaban	島の人 オール2色カラー版	color	
77-rubaa-77	シルバー77	silver	
999-dokutaa	999ドクター	doctor	
aho-jiru-reinboo	アホ汁レインボー	rainbow	
akuryoumu	悪霊夢<ナイトメア>	nightmare	
aruhi-naito-ni-attanara	ある日、ナイトに会ったなら	knight	★曖昧(knight/night等)
asami-mitsuhiko-mystery-ando-ryojou-sasupensu	浅見光彦ミステリー＆旅情サスペンス	suspense	
asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	浅見光彦ミステリー&旅愁サスペンス	suspense	
chokugeki-supais	直撃スパイS	spy	
chotto-bijin-dokutaa	ちょっと美人ドクター?	doctor	
chounouryokuuoozu	超能力ウォーズ	wars	
daidaaku	大ダーク	dark	
daisuke-gooru	大介ゴール!	goal	
daiyamondogeimu	ダイヤモンド芸夢	diamond	
datsugoku-dokutaa-inochiya-enma	脱獄ドクターいのち屋エンマ	doctor	
debirukko-ruru	デビルっ子ルル	devil	
dekinbooi	できんボーイ	boy	
dennou-sokai-ribaasu	電脳租界リバース	rebirth	
densetsu-no-sasupensu-ando-horror	伝説のサスペンス＆ホラー	suspense	
dokutaa-g-no-shima	ドクターGの島	doctor	
dokutaa-kid-no-hito-no-karada-fushigi-tanken	ドクター=キッドの 人の体ふしぎ探検	doctor	
dokutaa-m	ドクターM	doctor	
dokutaa-nakajima-no-sekai-seifuku	ドクター中島の世界征服	doctor	
dokutaa-saotome	ドクター早乙女	doctor	
dokutaa-to-himitsu-play	ドクターとひみつプレイ♥	doctor	
dokutaa-to-koisuru-biyaku	ドクターと恋する媚薬	doctor	
doodemo-eejiento	どーでもエージェント	agent	
doraemon-fushigi-no-hisutorii	ドラえもんふしぎのヒストリー	history	
doragonshiki	ドラゴン式	dragon	
doragonzakura-2	ドラゴン桜2	dragon	
doragonzakura	ドラゴン桜	dragon	
eejiento-mokusei	エージェント木星	agent	
eguchi-san-wa-geemunou	江口さんはゲーム脳	game	
enjierunokodou	エンジェルの鼓動	angel	
fukkatsu-dokutaa-chichibuyama	復活ドクター秩父山	doctor	
gachiiki-chouhatsu-night	ガチイキ挑発ナイト	knight	★曖昧(knight/night等)
geemubito-koushiki-gaido	ゲームびと公式ガイド	game	
geemuken	ゲーム犬	game	
geemuya-butchake-life	ゲーム屋BL (ぶっちゃけライフ)	game	
girl-s-x-road-bike	ガールズ×ロードバイク	girls	
gokujou-dokutaa-wa-omiai-niizuma-o-amayakashitakute-tamaranai	極上ドクターはお見合い新妻を甘やかしたくてたまらない	doctor	
gouman-dokutaa-to-kouun-no-megami	傲慢ドクターと幸運の女神	doctor	
gurazeni-dairiiguhen	グラゼニ～大リーグ編～	league	
gurimowaaru-ribaasu	グリモワール×リバース	rebirth	
haatoniaozorayohou	ハートに青空予報	heart	
hanako-to-guuwa-no-teraa	花子と寓話のテラー	terror	
hatsuden-dokutaa-hashiru	発電ドクター走る!	doctor	
hatsukoidendoufaito	初恋☆電動ファイト	fight	
