slug	title	type	missing	max	count	verdict	recover_isbn
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	standard	[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 110, 112, 153, 204, 205, 207, 208, 220, 221, 222]	228	117	RECOVERABLE	{"153": "9784821136179"}
hotel-ishimori-1998	HOTEL	standard	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]	37	2	RECOVERABLE	{"3": "9784091810434", "4": "9784091923141", "5": "9784091810458", "6": "9784091923165", "7": "9784091810472", "8": "9784091923189", "9": "9784091810496", "10": "9784091810502", "11": "9784091817914", "12": "9784091817921", "13": "9784091817938", "14": "9784091817945", "15": "9784091817952", "16": "9784091817969", "17": "9784091817976", "18": "9784091817983", "19": "9784091817990", "20": "9784091818003", "21": "9784091830814", "22": "9784091830821", "23": "9784091923332", "24": "9784091830845", "25": "9784091830852", "26": "9784091830869", "27": "9784091830876", "28": "9784091830883", "29": "9784091830890", "30": "9784091830906", "31": "9784091844712", "32": "9784091844729", "33": "9784091844736", "34": "9784091844743", "35": "9784091844750", "36": "9784091844767"}
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	standard	[17, 19, 20, 22, 23, 25, 26, 29, 31, 33, 35, 37]	42	15	RECOVERABLE	{"17": "9784091427878", "19": "9784091427892", "20": "9784091427908", "23": "9784091431936", "26": "9784091400796", "29": "9784091403155", "31": "9784091404572", "33": "9784091407450", "35": "9784091408785", "37": "9784091413680"}
otoko-do-ahou-koshien	男どアホウ甲子園	bunkobon	[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	16	3	RECOVERABLE	{"3": "9784253172684", "4": "9784253172691", "6": "9784253172714", "7": "9784253172721", "8": "9784253172738", "9": "9784253172745", "10": "9784253172752", "11": "9784253062152", "12": "9784253172776", "13": "9784253172783", "14": "9784253172790", "15": "9784253172806"}
damenzu-walker	だめんず・うぉ～か～	standard	[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	20	9	RECOVERABLE	{"9": "9784594057824", "10": "9784594059323", "11": "9784594061876", "12": "9784594063405", "13": "9784594064914", "14": "9784594067359", "15": "9784594069346"}
trinity-seven	トリニティセブン	standard	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	33	21	RECOVERABLE	{"4": "9784047128286", "5": "9784047128514", "6": "9784047128736", "7": "9784047129641", "8": "9784040700793", "9": "9784040702667", "10": "9784040702650", "11": "9784040703497", "12": "9784040703510", "13": "9784040707983", "14": "9784040707990"}
lupin-iii-y	ルパン三世Y	standard	[3, 7, 8, 9, 10, 13, 14, 15, 16]	17	8	RECOVERABLE	{"3": "9784575723663", "7": "9784575724530", "8": "9784575724547", "9": "9784575724721", "10": "9784575724806", "13": "9784575725209", "14": "9784575725285", "15": "9784575725407", "16": "9784575725445"}
otonashi-genjuu	音無し幻十	standard	[2, 3, 4, 5, 6, 7, 8, 9]	10	2	RECOVERABLE	{"2": "9784253017268"}
ushio-to-tora	うしおととら	wideban	[2, 3, 4, 5, 6, 7, 8, 9]	18	10	RECOVERABLE	{"2": "9784091224828", "3": "9784091224835", "4": "9784091224842", "5": "9784091224859", "6": "9784091224866", "7": "9784091224873", "8": "9784091224880", "9": "9784091224897"}
capeta	capeta	standard	[25, 26, 27, 28, 29, 30, 31]	32	25	RECOVERABLE	{"25": "9784063760880", "26": "9784063761412", "27": "9784063761955", "28": "9784063766370", "29": "9784063766851", "30": "9784063767261", "31": "9784063767827"}
jin	JIN	standard	[2, 3, 5, 6, 7, 8]	9	3	RECOVERABLE	{"5": "9784088595474", "6": "9784088596105", "7": "9784088596273", "8": "9784088596402"}
kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	standard	[2, 3, 4, 5, 6, 7]	8	2	RECOVERABLE	{"2": "9784171964019"}
kusuriya-no-hitorigoto-shino-2017	薬屋のひとりごと	standard	[7, 8, 9, 11, 12, 13]	16	10	RECOVERABLE	{"7": "9784757568563", "8": "9784757572713", "9": "9784757575868", "11": "9784757583245", "12": "9784757588134", "13": "9784757590274"}
kyou-kara-ore-wa	今日から俺は!!	wideban	[3, 6, 7, 8, 9, 10]	19	12	RECOVERABLE	{"3": "9784091224033", "6": "9784091224064", "7": "9784091224071", "8": "9784091224088", "9": "9784091224095", "10": "9784091224101"}
red	RED	standard	[2, 3, 4, 5, 6, 7]	19	13	RECOVERABLE	{"2": "9784063460261", "3": "9784063460490", "4": "9784063460551", "5": "9784063460773", "6": "9784063460896", "7": "9784063461046"}
shiro-no-fiorenteiina	白のフィオレンティーナ	bunkobon	[3, 4, 5, 6, 7, 8]	14	8	RECOVERABLE	{"3": "9784887412521", "4": "9784887412811", "5": "9784887413177", "6": "9784887413436", "7": "9784887413726", "8": "9784887414020"}
uchi-no-3-shimai	うちの3姉妹	standard	[7, 8, 10, 11, 12, 13]	19	13	RECOVERABLE	{"7": "9784072720752", "8": "9784072721063", "10": "9784072731307", "11": "9784072731468", "12": "9784072731529", "13": "9784072753309"}
hotel	ホテル	standard	[2, 4, 6, 8, 23]	36	31	RECOVERABLE	{"2": "9784091923127", "4": "9784091923141", "6": "9784091923165", "8": "9784091923189", "23": "9784091923332"}
joi-reika	女医レイカ	standard	[9, 10, 12, 13, 14]	16	11	RECOVERABLE	{"9": "9784845823857", "10": "9784845823864"}
hipunoshisumaiku	ヒプノシスマイク	standard	[2, 3, 4, 5]	6	2	RECOVERABLE	{"2": "9784065180457", "3": "9784065194256", "4": "9784065248515", "5": "9784065262818"}
kingdom	キングダム	aizoban	[15, 16, 17, 18]	20	16	RECOVERABLE	{"15": "9784088777153", "16": "9784088777719", "17": "9784088778198", "18": "9784088778730"}
ningen-club	人間倶楽部	standard	[9, 10, 12, 13]	14	10	RECOVERABLE	{"9": "9784776793304"}
shounen-keniya	少年ケニヤ	bunkobon	[14, 15, 16, 17]	18	14	RECOVERABLE	{"14": "9784041547144", "15": "9784041547151", "16": "9784041547168"}
asatarou-den	朝太郎伝	wideban	[2, 4, 5]	6	3	RECOVERABLE	{"2": "9784834211023", "4": "9784834211047", "5": "9784834211054"}
damenzu-walker	だめんず・うぉ～か～	bunkobon	[3, 4, 6]	19	16	RECOVERABLE	{"3": "9784594034283", "4": "9784594037185", "6": "9784594042196"}
deimosu-no-hanayome	悪魔の花嫁	bunkobon	[7, 8, 9]	11	8	RECOVERABLE	{"7": "9784253153362", "8": "9784253153379", "9": "9784253153386"}
eroika-yori-ai-o-komete	エロイカより愛をこめて	bunkobon	[3, 4, 5]	23	20	RECOVERABLE	{"3": "9784253071116", "4": "9784253071123", "5": "9784253071130"}
furusato	ふるさと	standard	[4, 5, 8]	11	8	RECOVERABLE	{"4": "9784575724141", "5": "9784575724240", "8": "9784575724394"}
hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c	ヒプノシスマイク	standard	[2, 4, 5]	6	3	RECOVERABLE	{"2": "9784065180457", "4": "9784065248515", "5": "9784065262818"}
kamuigaiden	カムイ外伝	standard	[13, 14, 16]	17	14	RECOVERABLE	{"13": "9784091900609", "14": "9784091901910", "16": "9784091901934"}
