layer	pub_slug	suggest	title	hit	note
DEVICE_DIFF_REVIEW	afutanuun-teii-time	afternoon-tea-ta-imu	アフタヌーンティーたいむ	アフタヌーン->afternoon,ティー->tea	
DEVICE_DIFF_REVIEW	haiueisutaa	high-wei-star	ハイウェイスター	スター->star	
DEVICE_DIFF_REVIEW	shiyugaa-potsuto-no-naishiyo-banashi	sugar-potto-no-naishobanashi	シュガーポットのないしょ話	シュガー->sugar	
DEVICE_DIFF_REVIEW	buruutorein-obake-gou	blue-train-obakegou	ブルートレイン、おばけ号	トレイン->train,ブルー->blue	
DEVICE_DIFF_REVIEW	gozen-3-ji-no-teiitaimu	gozen-3-ji-no-tea-taimu	午前3時のティータイム	ティー->tea	
DEVICE_DIFF_REVIEW	hi-no-tori-shoujo-kurabuban	hi-no-tori-shoujo-club-ban	火の鳥 少女クラブ版	クラブ->club	
DEVICE_DIFF_REVIEW	dokushin-apart-dokudami-sou	dokushin-apartment-dokudami-sou	独身アパートどくだみ荘	アパート->apartment	
DEVICE_DIFF_REVIEW	choujin-locke	choujin-rock	超人ロック	ロック->rock	
DEVICE_DIFF_REVIEW	majikkurabu-child	magic-love-chairudo	マジックラブ・チャイルド	マジック->magic	
DEVICE_DIFF_REVIEW	kimagure-mairoodo	kimagure-my-road	きまぐれマイロード	ロード->road	
DEVICE_DIFF_REVIEW	apple-teii-o-futatsu	appuru-tea-o-futatsu	アップルティーをふたつ	ティー->tea	
DEVICE_DIFF_REVIEW	short-arabesque	show-to-arabesuku	ショート・アラベスク	ショー->show	
DEVICE_DIFF_REVIEW	diana-no-taikan	dear-na-no-taikan	ディアナの戴冠	ディア->dear	
DEVICE_DIFF_REVIEW	5gatsu-5-iin	5-tsuki-queen	5月クィーン	クィーン->queen	
DEVICE_DIFF_REVIEW	shooji-kun-no-manga-bunko	show-ji-kun-no-manga-bunko	ショージ君の漫画文庫	ショー->show	
DEVICE_DIFF_REVIEW	uwasa-no-short-hoopu	uwasa-no-show-to-hoopu	噂のショートホープ	ショー->show	
DEVICE_DIFF_REVIEW	yoroshiku-mariin	yoroshiku-mary-n	よろしく!マリーン	マリー->mary	
DEVICE_DIFF_REVIEW	nyuuyooku-lullaby	new-yooku-rara-bai	ニューヨークららばい	ニュー->new	
DEVICE_DIFF_REVIEW	batorunaito-ken	battle-night-ken	バトルナイト剣	ナイト->night,バトル->battle	
DEVICE_DIFF_REVIEW	biiparu-kozou-no-autodoa-kyouhon	be-paru-kozou-no-out-door-kyouhon	ビーパル小僧のアウトドア教本	アウト->out	
DEVICE_DIFF_REVIEW	miniteii-yamu	mini-tea-yoru-yume	ミニティー夜夢	ティー->tea	
DEVICE_DIFF_REVIEW	kimagure-jiyookaa	kimagure-joker	気まぐれジョーカー	ジョーカー->joker	
DEVICE_DIFF_REVIEW	uwaki-virus-hasseichu	uwaki-beer-su-hasseichuu	浮気ビールス発生中!	ビール->beer	
DEVICE_DIFF_REVIEW	mashounen-bt	ma-shounen-be-tea	魔少年ビーティー	ティー->tea	
DEVICE_DIFF_REVIEW	onyanko-taigaasu	o-nyan-tora-tiger-su	おニャン虎タイガース	タイガー->tiger	
DEVICE_DIFF_REVIEW	naisho-no-haafumuun	naisho-no-haafu-moon	ないしょのハーフムーン	ムーン->moon	
DEVICE_DIFF_REVIEW	anna-karenina	anna-curry-nina	アンナ・カレーニナ	カレー->curry	
DEVICE_DIFF_REVIEW	buruuberii-hakusho	blue-berry-hakusho	ブルーベリー白書	ブルー->blue,ベリー->berry	
DEVICE_DIFF_REVIEW	ragnarok-guy	raguna-rock-gai	ラグナロック・ガイ	ロック->rock	
DEVICE_DIFF_REVIEW	rokku-no-kaze	rock-no-suzumefuu	ロックの雀風	ロック->rock	
DEVICE_DIFF_REVIEW	rome-de-yoru-datta	roma-de-yoru-datta	ローマで夜だった	ローマ->roma	
DEVICE_DIFF_REVIEW	pink-mairoodo	hiiro-my-road	緋色マイロード	ロード->road	
DEVICE_DIFF_REVIEW	shokatsu-koumei-gurafuteii	sho-kazura-hiroaki-gurafu-tea	諸葛孔明グラフティー	ティー->tea	
DEVICE_DIFF_REVIEW	7iro-no-7-reyon	7-shoku-no-crayon	7色のクレヨン	クレヨン->crayon	
DEVICE_DIFF_REVIEW	karez	curry-zu	カレーズ	カレー->curry	
DEVICE_DIFF_REVIEW	teiitaimu	tea-taimu	ティータイム	ティー->tea	
DEVICE_DIFF_REVIEW	teens-bravo	tea-nzu-bura-boo	ティーンズ★ブラボー	ティー->tea	
DEVICE_DIFF_REVIEW	beautiful-september	beauty-furu-september	ビューティフルSeptember	ビューティ->beauty	
DEVICE_DIFF_REVIEW	made-in-japon	maid-in-japon	メイド・イン・ジャポン	メイド->maid	
DEVICE_DIFF_REVIEW	roozuteii-de-hajimaru	roozu-tea-de-hajimaru	ローズティーではじまる	ティー->tea	
DEVICE_DIFF_REVIEW	koneko-chan-metoronoomu	ko-neko-chan-metro-noomu	子ねこちゃんメトロノーム	メトロ->metro	
DEVICE_DIFF_REVIEW	akuryoumu	aku-reimu-night-mea	悪霊夢<ナイトメア>	ナイト->night	
DEVICE_DIFF_REVIEW	boku-no-nishitetsu-raionzu	boku-no-nishitetsu-lion-zu	ぼくの西鉄ライオンズ	ライオン->lion	
DEVICE_DIFF_REVIEW	shoori	show-ri	ショーリ!!	ショー->show	
DEVICE_DIFF_REVIEW	diaanu-do-roze-no-inbou	dear-nu-do-roze-no-inbou	ディアーヌ・ド・ロゼの陰謀	ディア->dear	
DEVICE_DIFF_REVIEW	muundoroppu-ni-oyasumi	moon-doroppu-ni-oyasumi	ムーンドロップにおやすみ	ムーン->moon	
DEVICE_DIFF_REVIEW	runa-17-tei-wansebun	runa-city-17	ルナ・シティ17	シティ->city	
DEVICE_DIFF_REVIEW	ruutovihi-2sei	route-vihi-ii-yo	ルートヴィヒⅡ世	ルート->route	
DEVICE_DIFF_REVIEW	himitsu-de-naito	hi-mitsude-night	ひ・み・つでナイト	ナイト->night	
DEVICE_DIFF_REVIEW	andromeda-stories	and-romeda-story-zu	アンドロメダ・ストーリーズ	ストーリー->story	
DEVICE_DIFF_REVIEW	short-program	show-to-puroguramu	ショート・プログラム	ショー->show	
DEVICE_DIFF_REVIEW	suroonin	slow-nin	スローニン	スロー->slow	
DEVICE_DIFF_REVIEW	trickster	torikku-star	トリックスター	スター->star	
DEVICE_DIFF_REVIEW	e-crisis	e-cry-shisu	Eクライシス	クライ->cry	
DEVICE_DIFF_REVIEW	kattobi-nyuuyookaa	katto-bi-new-yookaa	かっとびニューヨーカー	ニュー->new	
DEVICE_DIFF_REVIEW	marude-shindere-rabooi	marude-cinderella-booi	まるでシンデレラボーイ	シンデレラ->cinderella	
DEVICE_DIFF_REVIEW	cocktail-stories	kakuteru-story-zu	カクテル・ストーリーズ	ストーリー->story	
DEVICE_DIFF_REVIEW	sequence	seek-ensu	シークエンス	シーク->seek	
DEVICE_DIFF_REVIEW	beautiful-talk	beauty-furu-tooku	ビューティフル・トーク	ビューティ->beauty	
DEVICE_DIFF_REVIEW	misutaa-guddoman-o-sagashite	misutaa-good-man-o-sagashite	ミスター・グッドマンを探して	グッド->good	
DEVICE_DIFF_REVIEW	ladies-komiku-nanka-iranai	rediisu-comic-nanka-iranai	レディース・コミックなんかいらない	コミック->comic	
DEVICE_DIFF_REVIEW	shoichi	densetsu-no-suzume-oni-show-ichi	伝説の雀鬼 ショーイチ	ショー->show	
DEVICE_DIFF_REVIEW	maido-raamenya-desu	maido-ramen-ya-desu	毎度ラーメン屋です	ラーメン->ramen	
DEVICE_DIFF_REVIEW	yuki-no-memorial	yuki-no-memory-aru	雪のメモリアル	メモリ->memory	
DEVICE_DIFF_REVIEW	crisis-2050	cry-shisu-2050	クライシス2050	クライ->cry	
DEVICE_DIFF_REVIEW	crisis-diver	cry-shisu-daibaa	クライシスダイバー	クライ->cry	
DEVICE_DIFF_REVIEW	secret-lady	seek-rettoredi	シークレットレディ	シーク->seek	
DEVICE_DIFF_REVIEW	dean-teen	diin-tea-n	ディーン・ティーン	ティー->tea	
DEVICE_DIFF_REVIEW	doragonkuesuto-4-koma-manga-gekijou	dragon-quest-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	クエスト->quest,ドラゴン->dragon	
DEVICE_DIFF_REVIEW	ravukurafuto-no-gensou-kaikikan	ravu-craft-no-gensou-kaikikan	ラヴクラフトの幻想怪奇館	クラフト->craft	
DEVICE_DIFF_REVIEW	rome-e-no-michi	roma-e-no-michi	ローマへの道	ローマ->roma	
DEVICE_DIFF_REVIEW	yumemiru-saateii	yumemiru-saa-tea	夢見るサーティー	ティー->tea	
DEVICE_DIFF_REVIEW	mayoigotachi-no-teii-time	mayoigotachi-no-tea-taimu	迷い子たちのティー・タイム	ティー->tea	
DEVICE_DIFF_REVIEW	izumi-chan-gurafutei	izumi-chan-gurafu-tea	いずみちゃんグラフティー	ティー->tea	
DEVICE_DIFF_REVIEW	karakuri-kengou-den-musashiroodo	karakuri-kengouden-musashi-road	からくり剣豪伝ムサシロード	ロード->road	
DEVICE_DIFF_REVIEW	natsuki-crisis	natsuki-cry-shisu	なつきクライシス	クライ->cry	
DEVICE_DIFF_REVIEW	gureitesuto-na-watashitachi	gray-tesuto-na-watashitachi	グレイテストな私達	グレイ->gray	
