main	main_title	holder	holder_title	n_vols	same_title	same_author	main_au	holder_au	vols
bar-lemon-heart-2014	BARレモン・ハート	bar-lemon-heart	Barレモン・ハート	12	True	True	['ファミリー企画', '古谷三敏']	['古谷三敏', 'ファミリー企画']	[2, 3, 4, 6, 7, 8, 17, 19]
nhk-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた	enueichikee-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた	1	True	True	['ながいのりあき', '小川おさむ']	['井上大助', '帯ひろ志']	[2]
manga-grimm-douwa	まんがグリム童話	kinpeibai	金瓶梅	24	False	True	['竹崎真実']	['竹崎真実']	[6, 7, 8, 9, 19, 20, 21, 22]
kariage-kun	かりあげクン	honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	10	False	True	['植田まさし']	['植田まさし']	[51, 52, 53, 54, 55, 56, 57, 58]
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	bou-kun-vaaderu-no-hanayome-shoya-hen	暴君ヴァーデルの花嫁 初夜編	9	False	True	['松本帆加']	['松本帆加']	[4, 5, 6, 7, 8, 9, 10, 11]
x-men-1994-4	エックスメン	x-men-1994-3	X-MEN	8	False	False	['児嶋都', '萩原玲二']	['中原れい']	[3, 4, 5, 6, 7, 8, 9, 10]
x-men-1994-4	エックスメン	x-men-1994-5	X-MEN	7	False	True	['児嶋都', '萩原玲二']	['児嶋都', '萩原玲二']	[3, 4, 5, 6, 7, 8, 9, 10]
x-men-1994-4	エックスメン	x-men-1994	X-MEN	6	False	False	['児嶋都', '萩原玲二']	['ヒグチヒロシ', 'やすえこーじ']	[3, 4, 5, 6, 7, 8, 9, 10]
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	meitantei-conan-2005	名探偵コナン特別編	6	True	False	['太田勝', '窪田一裕']	['阿部ゆたか', '丸伝次郎']	[5, 7, 10, 11, 13, 14]
yuu-gi-ou-5ds	遊・戯・王5D's	yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	5	False	True	['佐藤雅史']	['あああ', '佐藤雅史']	[3, 5, 6, 7, 8]
b-t-x	ビート・エックス	b-t-x-1999	B'T X-ビート・エックス-	3	False	True	['車田正美']	['車田正美']	[13, 14, 15]
shin-mimibukuro	新耳袋	shin-mimibukuro-kaidan-hyakumonogatari	新耳袋 怪談百物語	3	False	False	['萩原玲二']	['鯛夢', '山根聖史']	[2, 3, 4]
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	3	False	True	['桜木さゆみ']	['桜木さゆみ', '梅宮あいこ']	[204, 207, 208]
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	kariage-kun	かりあげクン	2	False	True	['植田まさし']	['植田まさし']	[29, 31]
1-yamamoto-1993	1	koroshiya-1	殺し屋1	2	False	True	['山本英夫']	['山本英夫']	[2, 3]
robotics-notes-2012	Robotics;Notes	robotics-notes	Robotics ; notes	2	True	False	['シヒラ竜也']	['浅川圭司']	[4, 5]
gurazeni-2014	Gurazeni	gurazeni-pa-riiguhen	グラゼニ～パ・リーグ編～	2	False	True	['アダチケイジ', 'コージィ城倉']	['コージィ城倉']	[5, 6, 14, 15]
gurazeni-2014	Gurazeni	gurazeni-tokyo-doomuhen	グラゼニ～東京ドーム編～	2	False	True	['アダチケイジ', 'コージィ城倉']	['アダチケイジ', 'コージィ城倉']	[5, 6, 14, 15]
gurazeni-2014	Gurazeni	gurazeni	グラゼニ	2	False	True	['アダチケイジ', 'コージィ城倉']	['アダチケイジ']	[5, 6, 14, 15]
mobile-suit-gundam-emuesuvui-aaru	機動戦士ガンダムMSV-R	mobile-suit-gundam-emuesuvui-aaru-uchuu-seiki-eiyuu-densetsu	機動戦士ガンダムMSV-R 宇宙世紀英雄伝説	2	False	True	['虎哉孝征']	['虎哉孝征']	[8, 9]
douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune	どうやら私の身体は完全無敵のようですね	douyara-watashi-no-karada-wa-kanzen-muteki-no-you-desu-ne	どうやら私の身体(からだ)は完全無敵のようですね	2	False	True	['さばねこ']	['さばねこ']	[2, 3]
isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou	異世界に来たみたいだけど如何すれば良いのだろう	2	True	False	['森ゆきなつ']	['白石新', '天野こひつじ']	[2, 3]
bikkuriman-omoshirorando	ビックリマン おもしろランド	bikkuriman-omoshiro-land	ビックリマンおもしろランド	1	True	False	['菅野誠一']	['企画者104']	[4]
basutaado	バスタード	bastard	BASTARD!!	1	False	True	['岸間信明', '萩原一至']	['萩原一至']	[14]
joker	JOKER	joker-reboot	JOKER REBOOT	1	False	False	['道原かつみ']	['霜月かいり']	[2]
rave	Rave	choukanden-shoujo-mona	超感電少女モナ	1	False	False	['真島ヒロ']	['安野モヨコ']	[9]
star-ocean-second-story	スターオーシャン セカンドストーリー	star-ocean-sekando-story-4koma-4-ga-gekijou	スターオーシャン セカンドストーリー 4コママンガ劇場	1	False	False	['天麻灯']	['(unknown)']	[5]
harukanaru-toki-no-naka-de	遙かなる時空の中で	haruka-naru-toki-no-naka-de	遥かなる時空の中で	1	False	True	['水野十子']	['水野十子']	[9]
sky-high	スカイハイ	skyhigh-shinshou	スカイハイ・新章	1	False	False	['髙橋ツトム']	['高橋ツトム']	[3]
uta-no-purinsusamatsu	うたの☆プリンスさまっ♪	uta-no-purinsusama-maji-love2000	うたの☆プリンスさまっ♪ マジLOVE2000％	1	False	True	['雪広うたこ']	['雪広うたこ']	[2]
fate-strange-fake-2019	フェイト/ストレンジフェイク	fate-strange-fake	Fate/strange Fake	1	False	True	['森井しづき']	['森井しづき', '成田良悟']	[2]
