old	new
akuyakureijou-no-naria-ga-riringoku-de-houseki-no-seijo-to-yobareruma-de	akuyaku-reijou-no-nariagari
bungou-no-o-yatsu	bungou-no-oyatsu
byoujakunakizumo-no-reijou-no-himitsunokekkonanata-o-shiawase-ni-surutame-ni	byoujaku-na-kizumono-reijou-no-himitsu-no-kekkon
choujoumichi-to-nosouguu	choujou-michi-to-no-souguu
densetsu-no-akuyakureijourashii-no-dehonpenniha-de-naikoto-ni-shimashita	densetsu-no-akuyaku-reijou-rashii-node-honpen-ni-wa-denai-koto
hazuresukirurenkinkoubou-de-hajimerudakkanseikatsu	hazure-skill-renkin-koubou-de-hajimeru-dakkan-seikatsu
henaiendosuteeji	henai-end-stage
hi-tsuihoushatachi-niyoru-shinkou-seiryoku-hanpa-nee	hitsuihousha-tachi-niyoru-shinkou-seiryoku-hanpa-nee
hitobito-o-kagena-ga-rasukutteirueiyuujitsu-wa-koushakuke-no-kuzumusuko-to-iu-no	hitobito-o-kagenagara-sukutteiru-eiyuu-jitsu-wa-koushakuke-no-kuzu
isekai-ni-houchigeeriron-o-mochikondarasekaisaikyou-ni-narerusetsu	isekai-ni-houchigee-riron-o-mochikondara-sekai-saikyou-ni-nareru-setsu
isekaikaratobasaretekitakanteimusume-wa-ura-nai-de-iseitsu-o-tateru	isekai-kara-tobasarete-kita-kantei-musume-wa-uranai-de-seikei-o-tateru
issunsaki-wa-aiarudameo	issunsaki-wa-ai-aru-dameo
jingai-to-jingai-to-o-tsukiai-shitai-ningen-no-hanashi	jingai-to-jingai-to-otsukiai-shitai-ningen-no-hanashi
jizeruodetto-no-ryuugiwazawai-no-reijou-to-juusanbanme-no-ouji	jizeru-odetto-no-ryuugi-wazawai-no-reijou-to-13-banme-no-ouji
ka-rubi-momareru	karubi-momareru
kimi-to-ho-no-ri-wa-ta-to-se-no-aida-de	kimi-to-honori-hatatose-no-aida-de
konyakuhaki-no-tamereikokukishi-ni-kettou-o-idon-de-mimashita-ga-dekiaisareru-to	konyaku-haki-no-tame-reikoku-kishi-ni-kettou-o-idonde-mimashita
konyakuhakisareta-ga-so-mo-so-mo-konyakushitaoboe-wa-naimakikomarereijou-wa-utat	konyaku-haki-sareta-ga-somosomo-konyaku-shita-oboe-wa-nai
